"Sınıf","tweet"
"yangın","Antalya #Kemer ‘de orman yangını ile amansız mücadele devam ediyor."
"yangın","Antalya'nın #Kemer ilçesindeki orman yangını kontrol altına alınamıyor. Kemer Devlet Hastanesi ve yerleşim yerleri tahliye ediliyor!"
"yangın","Antalya Göynük ve Kemer arasında gece başlayan orman yangını, poyraz ile Kemer’e doğru ilerliyor. Uçaklar ve helikopterler ile müdahaleler devam etmesine karşın yangın rüzgarında etkisi ile henüz kontrol altına alınabilmiş değil. #yangin #kemergöynükyangın"
"yangın","Antalya Kemer'de çıkan orman yangını 72 saattir devam ediyor."
"yangın","Antalya'nın en sık ormanların bulunduğu Kemer bölgesinde dün akşam başlayan orman yangını devam ediyor. Eğer söndürülmezse Türkiye tarihindeki en büyük orman yangınına dönüşebilir."
"yangın","Antalya'da orman yangını çıktı. Alanya'daki yangına 10 uçak, 11 helikopter müdahale ediyor."
"yangın","Antalya,Kemer ‘de orman yangını başladı… #kemeryanıyor #yangın #Antalya"
"yangın","Antalya Kemer'de çıkan orman yangını yaklaşık 75 saattir devam ediyor."
"yangın","Antalya’nın Kemer ilçesinde çıkan orman yangını geniş alana yayıldı! Yerleşim yerleri boşaltıldı. 12 saattir devam eden yangına müdahale devam ediyor."
"yangın","Antalya'nın Alanya ilçesinde bugün öğle saatlerinde çıkan orman yangını sebebiyle oluşmuştur. Bölgedeki 5 ev tahliye edildi. Çalışmalar sürüyor."
"yangın","Antalya'daki orman yangını ikinci gününde! 60 hektarlık alan kül oldu"
"yangın","Antalya'nın Alanya ilçesinde orman yangını başladı. Dimçayı mevkinde çıkan orman yangını giderek büyüdü ve dumanlar tüm göğü sardı. Ekiplerin yangına müdahalesi sürüyor."
"yangın","Antalya'nın Kaş ilçesinde orman yangını çıktı. Ekiplerin yangını söndürmek için başlattığı çalışma sürüyor."
"yangın","Antalya'da orman yangını teknelere sıçradı!"
"yangın","Antalya’da orman yangını! Ekiplerin müdahalesi devam ediyor"
"yangın","Manvgat sarılar yine yangın başladı"
"yangın","Sarılar bölgesinde alevler yerleşim yerine ulaşmış durumda. Müdahale etmek için neyi bekliyorsunuz"
"yangın","Manavgat'ta başlayan yangının Kızıldağ mevkiinde devam ettiği görüntülendi."
"yangın","Bucak #Melli ve #Karaseki’de çıkan yangın devam ediyor."
"yangın","Manavgat’ta yangının ilk çıktığı yere yakın , yine yangın çıkmış lütfen bu sefer büyümeden müdahale lütfen"
"yangın","Yarın gece Ankara'dan manavgat'a doğru yardım götürmek üzere yola çıkıyoruz. Sıfır çamaşır, gıda, mutfak malzemesi ihtiyaçları var. Yardım etmek isteyenler ulaşabilirler"
"yangın","Manavgat’taki yangın yine geçen sefer ilk başladığı yere yakın bölgede başladı. BÜYÜMEDEN ACİL MÜDAHALE EDİLMELİ!"
"yangın","Antalya #gündoğmuş da yangın devam ediyor"
"yangın","Bayır mahallemizdeyiz. Alevler köye yaklaşıyor. Ne yazık ki karşıda Gürceğiz alevler içinde"
"yangın","Milas Akçakaya köyü, yangın evlere sıçradı"
"yangın","Kavaklıdere'de tekrar yanıyoruz"
"yangın","İmdat yahu imdat! Bir ucu Yeniköy termik santraline bir ucu Ören yoluna gidiyor. Göz göre göre yanıyor! Acil 7/24 hava desteği!"
"yangın","Kavaklıdere, Köyceğiz, Menteşe yanıyor. Daha fazla desteğe ihtiyacımız var"
"yangın","Milas ve Köyceğiz’de orman yangınları maalesef devam ediyor"
"yangın","Bitsin artık bu yangın. Bir mahalle daha yandı. Gürceğiz Mahallesi"
"yangın","Milas da elektrik kesintileri başladı. #MilasYanıyor"
"yangın","Milas Elektrik Santrali yangın altında"
"yangın","Yangın Milas'taki termik santrale sıçradı."
"yangın","Mugla Mentese merkeze yakin uc koldan gelen cok buyuk yangin var. Koycegiz'de de yangin cok buyudu."
"yangın","Milas Yenikoy santrale yaklasan koyleri yutan bir yangin var. Yanginlar cok buyuk. Daha fazla hava destegi sart."
"yangın","aydın çineni akçaova köyünde gökbel dağında yangın yerleşim yerine çok hızlı ulaştı ve henüz yardım gitmemiş"
"yangın","MUĞLA HALA YANIYOR"
"yangın","11. Gün!!!! Sayı ile 11, yazı ile onbir!!! Köyceğiz yanıyor!!!"
"yangın","GÜLCEĞİZ ALEVLERE YENİK DÜŞTÜ"
"yangın","MilasYanıyor Gürceğiz alevler içinde."
"yangın","Milas'ta Kavaklıdere mevkiinde yangının tekrardan başladığı ve büyüdüğü belirtiliyor"
"yangın","Muğla'da 66 Bin hektar orman yandı. Köyceğiz yangını Denizli sınırına ulaştı. AKBELEN ORMANI kesilmesin diye nöbet tutan İkizköylüleri nöbet alanından tahliye ediyorlar. Köyceğiz ve Akbelen destek istiyor! Yardım istiyor! ORMANA DOKUNMA! #köyceğiz #muğla #yangınlar #yangın"
"yangın","Elazığ’ın Karakoçan İlçesinde Yoğunağaç Golan bölgesinde çıkan orman yangını hızla yayılmakta.  vatandaşlardan yardım bekliyoruz kortan ve delikan arası yangın var"
"yangın","Dikkat bodrum yangın ekibinin yardım isteğidir. A 51 numaralı orman arazözünün hortup ucundaki ekip bildiriyor.. Ayran ve su ulaştırın diyor. Dikkat eğitimsiz kimse gelmesin diyor. Bakın yangın eğitiminiz yoksa gitmeyin. Dikkat.!!!!! #bodrumyangın #YARDIM #PrayForTurkey"
"yangın","YANGIN HER YANI SARDI.. HAYVAN BARINAĞI TEHLİKEDE Bodrum'daki orman yangınına müdahale sürüyor. Yangın rüzgarın etkisiyle geniş bir alana yayıldı. Yangının Gümüşlük'e ve Turgutreis'deki hayvan barınağına sıçrama ihtimalinin yüksek olduğu belirtildi, acil yardım çağrısı yapıldı."
"yangın","Orman yangınlarının olduğu şehirlerde Yangın yardım çadırlarına ihtiyaç olan malzemeleri bırakalım lütfen."
"yangın","Çanakkale’de orman yangını Merkeze bağlı Kayadere köyü yakınındaki ormanlık alanda henüz belirlenemeyen nedenle yangın çıktı.😞 30 hava aracıyla müdahale ediliyor."
"yangın","İnsan Vakfı Acil Yardım Ekibimiz, Antalya’nın Manavgat ilçesinde  devam eden orman yangınlarından etkilenen vatandaşlarımız ve yangının söndürülmesinde mücadele eden yangın söndürme ekiplerimize destek için yola çıkıyor. #manavgat"
"yangın","Kahramanmaraş’ın Bertiz bölgesinde çıkan orman yangınına havadan müdahale eden yangın söndürme uçağı düştü. "
"yangın","Çanakkale'deki orman yangını büyüyor.  Yangın şehir merkezine çok yaklaşmış durumda "
"yangın","Yangın yayıldikca yayılıyor Muğla'da dehşet yangın var Antalya daki yangın Isparta iline doğru yönelmeye başlamış. Koca ülke bir yangını söndüremedi. Yardım isteyin dış ülkeler den orman kalmadı.."
"yangın","MARMARİS TURUNÇ'ta yangın devam etmekte ve giderek büyümekteymiş. Çiftlik ve Kumlubük tarafından geldiği için sıkıştırmış. Jandarma evleri boşalttırıyormuş. Ve hiçbir uçak, helikopter yokmuş müdahale eden!!  PAYLAŞIN yardım gitsin. #Marmaris #Turunç #orman #yangın"
"yangın","#Çanakkale’deki orman yangını dumanları #Tekirdağ batısındaki ilçelere kadar ulaştı ara ara yanık kokusu bile geliyor. Çok büyük yangın çok.. Allah yardım etsin oradakilere."
"yangın","Bir köy yok oluyor, orman, hayvanlar yok oluyor. Yangın söndürme helikopteri yok mu Alla aşkına❗❗ Kastamonu Tosya Yağcılar köyü, yangın çok hızlı ilerliyor. Lütfen yardım edin"
"yangın","Çanakkale'de 3 Yangında 7 Bin 580 Hektar Alan Küle DöndüÇanakkale'de bu yıl 16 Temmuz, 22 Ağustos ve 4 Kasım'da meydana gelen yangınlarda 10612 futbol sahası büyüklüğünde alan yandı."
"yangın","Gökçeada mevkilerimizde yangın çıktı Kuzey Ormanları'nın Çanakkale Gökçeada Dereköy Marmaros mevkiinde çıkan orman yangını, OBM ekiplerimizin havadan ve karadan müdahalesiyle kontrol altına alınmaya çalışılıyor."
"yangın","Çanakkale / Sarıcaeli köyü  Kuvvetli rüzgar nedeniyle yangın çok hızlı ilerliyor.   "
"yangın","Eskişehir yanıyor!"
"yangın","Çanakkale'deki yangın kuvvetli rüzgar sebebiyle tekrar başladı. Ekipler yangını kontrol altına alamıyor... "
"yangın","Yangın her yerde...!"
"yangın","Çanakkale'de yangın tüm müdahalelere rağmen devam ediyor."
"yangın","#Çanakkale'de bir yangın daha Ecabat'a bağlı KüçükAnafarta köyü yakınları yanıyor. "
"yangın","#Çanakkale'deki orman yangınına havadan ve karadan müdahale sürüyor."
"yangın","Çanakkale’nin birçok yerinde kuvvetli rüzgar nedeniyle yangın yeniden başladı. "
"yangın","Çanakkale de başlayan yangın rüzgarın etkisiyle maalesef yerleşim alanlarına kadar dayandı. "
"yangın","#Canakkale yetmezmiş gibi şimdi bir de #Eskişehir de de yangın başlamış. Bitmiyor ciğerlerimizin alevi. "
"yangın","Eskişehir'de orman yangını başladı. Seyitgazi ilçesinde alevler yayılıyor"
"yangın","Çanakkale / Sarıceli köyü yeni görüntüler rüzgarın şiddetini tekrar artırması ile yangın çok hızlı ilerlemeye başladı...  köylüler can telaşında maalesef..."
"yangın","Yangın devam ediyor, tam kontrol altına alınacak derken rüzgarla bir anda yeniden alevler yükseliyor. Önümüzde zorlu bir gece olacak."
"yangın","Çanakkale de yangın hâlâ durdurulamadı."
"yangın","Çanakkale'deki yangın birçok yerde kuvvetli rüzgar sebebiyle tekrar başladı. Ekipler yangını kontrol altına alamıyor... "
"yangın","Gelibolu da  yangın başlamış"
"yangın","#Çanakkale'nin Biga ilçesinde tarım arazilerinin de bulunduğu ağaçlık alanda yangın çıktı."
"yangın","Ordu Kabadüz Aşağı Kirazdere'de orman yangını. Müdahale sürüyor."
"yangın","Sıcak haber! #istanbul Kadıköy'de 15 katlı binanın çatısına yıldırım isabet etti. Çatıda yangın çıktı. Fenerbahçe Mahallesi'ndeki 15 katlı binanın tamamının boş olduğu bildiriliyor. Özellikle boğaz hatti ve çevresinde yoğun şimşek aktivesi görülüyor..."
"yangın","Muğla'da yıldırım düşen evde yangın çıktı http://dlvr.it/SzZNCh #turkish #turkey #istanbul"
"yangın","KUZEYKENT'TE ÇOCUK PARKI ALEV ALDI! Ankara'nın Kuzeykent semtinde çocuk parkı alevlere teslim oldu. Yangın ekipler tarafından kontrol altına alındı."
"yangın","Kabadüz'de Orman Yangını Ordu'nun Kabadüz ilçesinde çıkan yangın itfaiye ekiplerinin hızlı müdahalesiyle kontrol altına alınmaya çalışılıyor. Detaylar İçin"
"yangın","Ordu’da Orman Yangını: Yangının Kontrol Altına Alınması İçin Çalışmalar Sürüyor"
"yangın","Trabzon'da orman yangını çıktı!"
"yangın","Son Dakika | İstanbul Bağdat Caddesi'nde bir eve yıldırım düştü. Çatı alevler içinde kaldı. İşte o anlar..."
"yangın","Hava Forum: “Bilecik'teki yangın tekrar başladı ve Bursa sınırlarına da sıçradı...”"
"yangın","Hava Forum: “Çanakkale'de yangınla mücadele çok zorlaştı. Yangın, gece geniş bir alana yayıldı. Sabah rüzgarın şiddetlenmesi tahmin ediliyor.”"
"yangın","#SONDAKİKA #Bursa #Osmangazi'de Gündoğdu'da ormanlık alanda #yangın çıktı. Yangın giderek yayılıyor."
"yangın","Malatya’da korkutan yangın Yangının sebebinin tarlaya düşen yıldırım olduğu iddia ediliyor. İşte o görüntüler... (Hava Forum)"
"yangın","İstanbul, Maltepe'de başlayan yangın evlere giderek yaklaşıyor. (Hava Forum)"
"yangın","Bursa Nilüfer’de 10 katlı bir iş merkezine yıldırım düştü! Çıkan yangın kontrol altına alınmaya çalışılıyor. (Hava Forum)"
"yangın","Çanakkale'deki orman yangını evlere çok yaklaştı. Son durum... #Çanakkale #canakkaleyanıyor #SONDAKİKA"
"yangın","#Muğla (#Milas) ve #İzmir (#Foça) çevrelerinde aynı anda orman yangını çıktı. Ekipler, aynı anda çıkan yangınlara yetişmekte güçlük çekebilir. Perşembe ve Pazar arası orman yangını risk haritası en son risk kategorisine çıkıyor. (Hava Forum)"
"yangın","İzmir Aliağa Menderes Orman yangınına müdahele ediliyor. #OrmanKahramanları"
"yangın","Alaçatı'da orman yangını başladı! #yangın #izmir #alacati"
"yangın","İzmirde orman yangını #izmir #Menderes"
"yangın","İzmir-Aliağa'da orman yangını çıktı. Alevler yaşam alanlarını tehdit ediyor. #izmir #aliağa #mendere #yangın #ormanyangını"
"yangın","*İstanbul Beykoz'da orman yangını çıktı Olay yerine çok sayıda itfaiye ekibinin yanı sıra söndürme helikopteri sevk edildi."
"yangın","izmir güzelbahçe yelki köyünün tepesinde orman yangını, rüzgar yönünde yerleşim yerleri var. Itfaye araçları hızla bölgeye gitti."
"yangın","#izmir Kınık'taki orman yangını nedeniyle 3 mahalle tahliye ediliyor"
"yangın","#SONDAKİKA | İzmir Bergama'da orman yangını başladı #izmir #bergama #ormanyangını #sicak"
"yangın","İzmir’de orman yangını https://dailyizmir.com/izmirde-orman-yangini-2/4146/… #yangın #izmir #haber"
"yangın","Kınık’taki orman yangını maalesef devam ediyor. Bölgede 20’ye yakın hava aracı var, karadan da ekiplerin yoğun mücadelesi sürüyor. #izmir"
"yangın","Menderes-Oğlananası'nda orman yangını hızla büyüdü. Alevler fabrikalara ilerliyor. #izmir"
"yangın","İzmir’in Aliağa ilçesinde çıkan orman yangını, vatandaşların ikamet ettikleri alanlara yaklaşırken, bölgede yaşayan vatandaşlar deniz yoluyla tahliye ediliyor. #izmir #aliağa #ormanyangını #yangın"
"yangın","Marmaris’te orman yangını başladı.."
"yangın","Menderes-Oğlananası'nda orman yangını hızla büyüdü. #izmir"
"yangın","İzmir Bayraklı sırtlarında #ormanyangını . İzmir Bayraklı sırtlarında orman yangını başladı Orman Müdürlüğü ve Büyükşehir Belediyesi ekipleri müdahale halinde #bayraklı #izmir"
"yangın","Muğla (Milas) ve İzmir (Foça) çevrelerinde aynı anda orman yangını çıktı. Henüz Afrika sıcakları tam giriş yapmadı. Perşembe ve Pazar arası cok zorlanacağız gibi duruyor. Ekipler aynı anda çıkan yangınlara yetişmekte güçlük çekebilir."
"yangın","İzmir'in ciğerleri yanıyor İzmir'in Güzelbahçe ilçesi ile Urla-Çeşme yolunun 20. kilometresinde orman yangını çıktı. Yangınlara karadan ve havadan müdahale devam ediyor. #izmir #ormanyangınları #çeşme #güzelbahçe #urla"
"yangın","İzmir’in Buca ilçesinde orman yangını çıktı. Alevlere havadan ve karadan müdahale edildi. Orman yangını saat 13.30 itibarıyla kontrol altına alındı. Ekiplerin soğutma çalışmaları devam ediyor. #izmir #buca #orman #ormanyangını"
"yangın","İzmir’in Gaziemir ilçesinde orman yangını: Ekipler havadan ve karadan müdahale ediyor.  #izmir #gaziemir #yangın #sondakika #9eylul #9Eylül #9Eylül1922 #9eylülizmirinkurtuluşu #sondakikahaberleri"
"yangın","İzmir’de orman yangını https://dailyizmir.com/izmirde-orman-yangini/4088/… #izmir #yangin #orman #haber #türkiye"
"yangın","#SonDakika İzmir'in Gaziemir ilçesinde orman yangını çıktı. #izmir #orman #yangın"
"yangın","İzmir'de yangın! İzmir'in Gaziemir ilçesinde orman yangını meydana geldi. Yangın sebebiyle Adnan Menderes Havalimanı'na inmesi beklenen uçakların rötar yaptığı öğrenildi. #yangın #izmir"
"yangın","Çeşme’de orman yangını çıktı! https://yeniizmir.com/cesmede-orman-yangini-cikti/… .. #izmir #çeşme #yangın"
"yangın","#İzmir #Menemen’de orman #yangını!"
"yangın","Foça Ilıpınar Mahallesinde Saat 12.31 itibari ile orman yangını başladı. Çıkan orman yangınına İzmir Orman Bölge Müdürlüğü ekipleri 12.42’de ilk müdahaleye başlarken; 3 uçak 5 helikopter, 17 arazöz, 8 su ikmal, 3 dozer ile yangına müdahale devam ediyor."
"yangın","İzmir’de orman yangını İzmir'in Menderes ilçesinde ormanlık alanda çıkan yangına gece görüşlü hava araçlarıyla müdahale sürüyor. : İHA"
"yangın","Menderes’e bağlı Gümüldür’de çıkan orman yangını ekiplerin müdahalesiyle söndürülmeye çalışılıyor."
"yangın","#izmir İzmir'in Ödemiş, Kınık ve Torbalı ilçelerinde orman yangını çıktı. Yangınlar ekiplerin müdahalesiyle kontrol altına alınmaya çalışılıyor. Ödemiş'te tedbir amaçlı olarak Birgi-Bozdağ kara yolu özel araç geçişine kapatıldı."
"yangın","İzmir’in Buca ilçesi Karaağaç mevkiinde orman yangını başladı. Yangına; 5 helikopter, 2 uçak 19 arazöz ve iş makineleri ile müdahale devam ediyor. #izmir #yangın"
"yangın","İzmir'de orman yangını"
"yangın","İzmir Bayındır’da orman yangını https://imecegazetesi.com/haber/12804/izmir-bayindirda-orman-yangini.html… #izmir #ormanyangını"
"yangın","#SONDAKİKA İzmir Menemen’de orman yangını İzmir'in Menemen ilçesi Hasanlar Mahallesi'nde orman yangını çıktı. Bölgeye 2 uçak, 4 helikopter, 7 arazöz, 2 su ikmal aracı ve 1 dozer sevk edildi."
"yangın","İzmir'de gece başlayan orman yangını sürüyor! https://gundemebakis.com/izmirde-gece-baslayan-orman-yangini-suruyor… #izmir #ormanyangını #orman #yangın #sondakika #pazartesi"
"yangın","Karabağlar’da orman yangını! https://yeniizmir.com/karabaglarda-orman-yangini/… #SonDakika #SONDAKİKA #GazzeUnderAttack #2000LerBuguenKartalda #yangin #izmir"
"yangın","İzmir’de yıldırım düşmesi sonucu orman yangını çıktı! İzmir’in Kemalpaşa ilçesinde çıkan orman yangını, havadan ve karadan müdahaleyle kontrol altına alındı. #izmir"
"yangın","İzmir'de orman yangını: Uçuşlar kapatıldı! #izmir"
"yangın","İzmir Bayındır'da Orman Yangını Bayındır, İzmir'deki Orman Yangını Kontrol Altına Alınmaya Çalışılıyor https://bursabasin.com/izmir-bayindirda-orman-yangini… #izmir #ormanyangini"
"yangın","Kavacık'taki orman yangını: Havadan ve karadan müdahale ediliyor https://medyaege.com.tr/kavaciktaki-orman-yangini-havadan-ve-karadan-mudahale-ediliyor-228155h.htm… #izmir #ormanyangını #yangın #kavacık"
"yangın","İzmir'de orman yangını! http://sonkaleizmir.com/haber/Izmir-de-orman-yangini/140360… #SonDakika #SONDAKİKA #izmir"
"yangın","İzmir'de orman yangını! Müdahale sürüyor https://bitly.ws/UnL4 #izmir #yangın #sondakika"
"yangın","Menderes ilçesinde büyük orman yangını! 8 uçak ve 18 helikopter ile havadan, çok sayıda ekipte karadan müdahale ediyor. #izmir"
"yangın","Kınık’ta tekrar orman yangını çıktı!"
"yangın","Bölgeden ilk görüntüler... İzmir'de orman yangını!"
"yangın","İzmir'de orman yangını... Bayındır'da havadan ve karadan müdahale sürüyor..."
"yangın","İzmir'de iki ayrı noktada orman yangını: Mahalleler boşaltıldı, yol kapatıldı #izmir #yangın"
"yangın","İzmir'in Güzelbahçe ilçesinde orman yangını çıktı İzmir'in Güzelbahçe ilçesinde ormanlık alanda çıkan yangına müdahale ediliyor. #yangin #izmir #SonDakika"
"yangın","İzmir’de orman yangını! #izmir #orman #yangın #buca #gündem #güniçinden #26haziran"
"yangın","İzmir’de peş peşe orman yangını! İzmir’in farklı noktalarında orman yangını meydana geldi. Yangın bölgesine çok sayıda ekip sevk edildi. #izmir #yangın #ormanyangını"
"yangın","İzmir’de korkutan orman yangını! Ekipler müdahale ediyor #izmir #sondakika"
"yangın","İzmir'in Menderes ilçesinde orman yangını çıktı: Yol trafiğe kapatıldı #izmir #Menderes #orman"
"yangın","Karaisalı, Kelebek Köyü’nde orman yangını çıktı! Yangın rüzgarın etkisiyle büyüyor. 1 helikopter yetersiz kalıyor. Lütfen büyümeden destek ekipleri gönderelim. Ciğerlerimiz yanıyor! Hatay, Mersin, Çanakkale, Ayvalık, Adana. Her yaz aynısını defalarca yaşamaktan kahroluyoruz."
"yangın","Adana’da orman yangını"
"yangın","Adana'da orman yangını: 200 kişilik ekip müdahale ediyor .."
"yangın","Adana'da orman yangını #Adana #ormanyangını #yangın"
"yangın","#sondakikahaberleri Adana'da orman yangını başladı!"
"yangın","Bolu, Ankara, İzmir ve Adana'da orman yangını çıktı."
"yangın","Adana’da orman yangını Feke’de çıkan yangına havadan ve karadan müdahale ediliyor"
"yangın","Muğla ve Adana'dan orman yangını haberleri alıyoruz. Yangınlar nedeniyle ormanlarımız, doğal yaşam ve canlılar büyük tehlike altında. Ormanların kıymetini bilmeli ve korumalıyız! Yetkililerin bir an önce yangına etkin şekilde müdahale etmelerini temenni ediyoruz. #Milas #Adana"
"yangın","ORMANLARIMIZ YANIYOR! Hatay-Belen’de başlayan yangını söndürme çalışmaları havadan ve karadan sürerken, Mersin,Çanakkale ve Adana'da da orman yangını çıktı.Adana-Saimbeyli çıkan iki orman yangını kontrol altına alındı. Ancak Hatay,Mersin ve Çanakkale'de yangınlar devam ediyor."
"yangın","https://pratikhaber.com/haber/9844/adanada-orman-yangini.html… Adana'da orman yangını #adana #ormanyangını"
"yangın","Adana’da orman yangını!"
"yangın","#SONDAKİKA 3 İLDE ORMAN YANGINI Bolu'nun Gerede, İzmir'in Menderes ve Adana'nın Kozan ilçelerinde orman yangını çıktı. Orman yangınlarına ekiplerin müdahalesi sürüyor."
"yangın","Ülkemizin farklı noktalarında meydana gelen orman yangınlarıyla gece gündüz demeden mücadele ediyoruz. #OrmanınKahramanları #Adana'da meydana gelen yangını kontrol altına aldı. #Bolu ve #İzmie'de mücadelemiz devam ediyor. Son alev sönene kadar..."
"yangın","Adana'da orman yangını çıktı"
"yangın","Adana'da orman yangını http://bit.ly/3EVQ7xr Foto: İHA"
"yangın","#Adana'da orman yangını! Adana'nın Kozan ilçesinde ormanlık alanda çıkan yangına havadan ve karadan müdahale ediliyor. https://bit.ly/3O8Hdlv"
"yangın","Adana'da orman yangını çıktı Adana Kozan ilçesi Kalkumaç Mahallesi'ndeki ormanlık alanda henüz belirlenemeyen nedenle yangın çıktı. Yangını havadan ve karadan müdahaleyle kontrol altına alınmaya çalışılıyor..."
"yangın","Adana'da orman yangını"
"yangın","Adana'da çıkan orman yangını kontrol altına alındı: Adana'nın Kozan ilçesinde çıkan orman yangını ekiplerin karadan müdahalesiyle kontrol altına alındı. Toplam 15 arazöz ve 70 personelin görev aldığı söndürme çalışmaları devam ediyor."
"yangın","Tuzla'da bir fabrikada yangın çıktı. İhbar üzerine olay yerine birçok ilçeden çok sayıda itfaiye ekibi sevk edildi."
"yangın","Tuzla'da Yangın Paniği! https://halktv.com.tr/turkiye/tuzlada-yangin-panigi-ekipler-814199h"
"yangın","#SONDAKİKA | İstanbul Teknik Üniversitesi’nde yangın çıktı."
"yangın","Bursa İnegöl'de 2 Katlı Bina Alev Aldı: 2 Kişi Hastaneye Kaldırıldı  Bursa'nın İnegöl ilçesinde 2 katlı bir bina alev alev yanarken, dumandan etkilenen 2 kişi acil olarak hastaneye kaldırıldı."
"yangın","Avcılar’da tekstil fabrikasında yangın çıktı. İtfaiye fabrikadaki alevlere müdahale etmek için çok sayıda ekip sevk etti. #avcılar #fabrika #yangın #sondakika"
"yangın","Şebinkarahisar'da Elektrikli Battaniyeden #Yangın Çıktı Yaşlı Kadın Son Anda Kurtuldu #Giresun'un #Şebinkarahisar ilçesine bağlı Balcana Köyünde dün gece saatlerinde 2 katlı ahşap evde çıkan yangında 1 kişi son anda kurtulurken, ev kullanılamaz hale geldi."
"yangın","Hindistan'ın Ghazipur kentinde bir otobüsün alev alması sonucu çok sayıda kişi yaralandı, en az 5 kişi hayatını kaybetti. #haber #sondakika #Hindistan #dünya #yangın #otobüs #yolcu #yolcuotobüsü #UttarPradesh #Ghazipur"
